customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region
1001,James Reid,55,96964,36890,Education,Yes,North
1002,Howard Mathis,61,59846,56517,Education,Yes,North
1003,Karen Johnson,23,43879,42857,Home,Yes,North
1004,Jose Lee,54,27261,51149,Medical,No,North
1005,Danielle Caldwell,58,53340,17337,Vacation,Yes,North
1006,Erik Mitchell DVM,44,92273,30683,Vacation,No,North
1007,Travis Gonzalez,58,57323,66269,Education,No,North
1008,Beth Butler,37,60864,75754,Vacation,No,North
1009,Nancy Williams DVM,60,32927,60360,Business,No,North
1010,Victoria Reed,21,89884,53764,Home,No,North
1011,Jeremy Garcia,28,60212,8397,Vacation,No,North
1012,Tina Jackson,35,107256,67949,Medical,No,North
1013,David Johnson,45,109903,48031,Business,No,North
1014,David King,28,66927,71269,Car,No,North
1015,Derek Sawyer,52,146686,27838,Home,Yes,North
1016,Haley Ortiz,33,79150,25425,Business,Yes,North
1017,Lindsey Mcdonald,35,132167,42119,Education,No,North
1018,Evan Ferrell,26,83647,54664,Education,Yes,North
1019,David Nguyen,53,38056,36125,Home,Yes,North
1020,Anthony Dean,27,35862,10311,Medical,Yes,North
1021,Phillip Curtis,53,35798,38169,Education,No,North
1022,Barry Phillips,49,131491,37042,Business,No,North
1023,Mr. Jack Hardin,58,84058,36756,Car,Yes,North
1024,Benjamin Schroeder,57,76747,19401,Medical,No,North
1025,Joshua Delgado,64,60738,53890,Home,No,North
1026,Jennifer Wright,52,126573,9628,Education,No,North
1027,Brandon Torres,23,84945,73657,Medical,No,North
1028,Ricky Drake,40,107398,53065,Car,Yes,North
1029,Jordan Smith,34,42227,44525,Medical,Yes,North
1030,William Pearson,48,59393,35398,Medical,Yes,North
1031,Michael Hardin,58,108800,37239,Home,Yes,North
1032,Jerry Garrett,24,84461,71699,Car,No,North
1033,James Garner,35,82848,51647,Car,No,North
1034,Robert Hill,37,49685,24755,Medical,No,North
1035,David Horton,57,116517,52069,Education,No,North
1036,Jordan Young,44,144180,13601,Medical,No,North
1037,Charles Greene,58,28480,7017,Business,No,North
1038,Maria White,62,131846,71145,Education,No,North
1039,Michele Clay,61,149437,35850,Home,No,North
1040,Shannon Williams,56,40860,49787,Car,No,North
1041,Paige Bryant,61,93578,45010,Vacation,No,North
1042,Valerie Fritz,28,142524,74244,Education,Yes,North
1043,Angela Castro,23,82230,10973,Home,Yes,North
1044,Cynthia Smith,50,82026,32913,Medical,No,North
1045,Caroline Phillips,42,31564,16356,Home,No,North
1046,Janet Jimenez,53,45012,54893,Business,No,North
1047,David Brown,45,79169,69333,Vacation,Yes,North
1048,Jay Rodriguez,50,133537,34582,Home,No,North
1049,Brittany Whitehead,57,115222,24135,Vacation,Yes,North
1050,Kimberly Johnson,23,119416,52914,Vacation,No,North
1051,Carrie Robinson,24,51341,44577,Education,Yes,North
1052,Douglas Lam,49,81758,15624,Car,No,North
1053,Joseph Moran,52,108121,23247,Education,Yes,North
1054,Allison Hernandez,43,134474,18507,Education,No,North
1055,Samantha Moore,39,71841,68025,Car,Yes,North
1056,David Burns,35,117584,20151,Business,No,North
1057,Bruce Cummings,36,68335,35315,Education,No,North
1058,Thomas Lane,43,80155,34104,Car,No,North
1059,Bobby Lang,60,123314,33298,Car,Yes,North
1060,Craig Rodriguez,57,106147,38953,Education,Yes,North
1061,Connor Gallegos,21,54527,61364,Vacation,Yes,North
1062,Jeremiah Yang,39,120466,59581,Car,Yes,North
1063,Aaron Paul,57,73775,63837,Vacation,No,North
1064,Angela Walker,55,133085,20461,Medical,No,North
1065,Janet Sparks,50,75653,47219,Education,No,North
1066,Curtis Davis,37,49704,16501,Vacation,Yes,North
1067,Stacey Day,59,131209,14070,Business,No,North
1068,Jeremy Parker,46,126907,4626,Medical,Yes,North
1069,Tyler Berry,33,143883,67569,Business,Yes,North
1070,Rachel Figueroa,42,58057,42414,Vacation,Yes,North
1071,Valerie Roberson,43,128992,31860,Education,No,North
1072,Sherri Alvarez,64,32393,33460,Home,Yes,North
1073,Bruce Rivas,63,100404,62970,Car,Yes,North
1074,Keith Smith,53,136740,57584,Medical,Yes,North
1075,Mrs. Tara Smith MD,47,65373,67286,Education,Yes,North
1076,Cassandra Campbell,55,116956,73309,Car,Yes,North
1077,Dennis Underwood,32,135131,40812,Vacation,No,North
1078,Steve Scott,29,109613,48977,Home,Yes,North
1079,Melissa Anderson,54,84171,45088,Business,Yes,North
1080,Brian Archer,34,54336,14630,Education,Yes,North
1081,Phyllis Page,57,83714,45075,Education,Yes,North
1082,Kristi Collins,23,37985,65244,Vacation,No,North
1083,Cory Smith,64,37014,13100,Home,Yes,North
1084,Matthew Prince,64,33374,68242,Business,No,North
1085,Leslie Long,41,140038,32103,Education,Yes,North
1086,Deanna Cooper,27,110506,37096,Vacation,Yes,North
1087,Tammy Valencia,53,47299,72659,Car,Yes,North
1088,Clifford Mejia,55,116513,14807,Vacation,No,North
1089,Audrey Clements,31,52331,59723,Home,No,North
1090,Jean Rice,52,30584,37951,Education,Yes,North
1091,Jacob Brown,42,37965,18427,Vacation,No,North
1092,Michael Young,62,109769,3153,Business,No,North
1093,Robin Lee,39,45819,57734,Medical,No,North
1094,Joshua Perez,56,53782,66813,Education,Yes,North
1095,William Tucker,57,129708,69351,Business,No,North
1096,Scott Simpson,31,135463,4119,Home,No,North
1097,Walter Thompson,61,104035,63612,Business,No,North
1098,Omar Young,33,110847,40933,Business,No,North
1099,Jennifer Wilson,48,113434,69745,Home,No,North
1100,Jared Salazar,35,85773,66810,Medical,No,North
1101,Robert Rodriguez,33,48824,33022,Vacation,Yes,North
1102,Rachel Brooks,63,145504,30372,Car,Yes,North
1103,Rhonda Jarvis,53,39110,30235,Medical,No,North
1104,Lydia Wood,28,72707,69573,Car,No,North
1105,Scott Oliver,52,113512,71869,Car,Yes,North
1106,Debra Li,57,30825,31718,Car,No,North
1107,Scott Horton IV,24,28488,76440,Education,Yes,North
1108,Gary Huerta,38,92431,18555,Medical,No,North
1109,Clifford Wilkerson,43,93444,75993,Business,Yes,North
1110,Tammy Kaiser,49,91947,34488,Education,Yes,North
1111,Carol Bauer,22,30457,21863,Home,No,North
1112,Patrick Miller,33,102110,25305,Home,No,North
1113,Kristina Stanton,36,133439,39374,Car,No,North
1114,Rhonda Booth,28,143687,8203,Education,Yes,North
1115,Rachel King,39,63216,64182,Vacation,Yes,North
1116,Jeremy Mcguire,52,118230,34767,Vacation,Yes,North
1117,Michele Evans,23,33847,40772,Education,Yes,North
1118,Ashley Clark,52,113212,58620,Home,Yes,North
1119,Mckenzie Wright,61,66309,19699,Business,No,North
1120,Brian Mccoy,41,39658,35293,Medical,Yes,North
1121,Megan Cain,45,113928,25425,Medical,Yes,North
1122,Natalie Mosley,37,42527,37282,Car,No,North
1123,Christopher Soto,45,54676,53882,Car,No,North
1124,Christopher Miller,53,41781,71721,Car,Yes,North
1125,Richard Lee,51,25645,20622,Home,Yes,North
1126,Christopher Robinson,56,122476,8455,Home,No,North
1127,Matthew Flores,43,103236,38692,Vacation,No,North
1128,Victoria Ho,64,48990,9796,Medical,Yes,North
1129,Emma Nichols,45,111052,61534,Vacation,Yes,North
1130,Edward Archer,64,43618,25423,Vacation,No,North
1131,Michael Ochoa,50,86859,30007,Car,No,North
1132,Danny Daniels,33,101500,51121,Vacation,No,North
1133,Deanna Richards,63,83827,53261,Education,Yes,North
1134,Kevin Brown,49,122389,30692,Vacation,Yes,North
1135,Natasha Barnett,36,121726,50049,Business,Yes,North
1136,Rebecca Short,58,149863,21721,Home,No,North
1137,Evelyn Miller,47,26962,78658,Vacation,Yes,North
1138,Mr. James Powell,46,140497,37026,Car,Yes,North
1139,Chase Jimenez,31,64241,7501,Car,No,North
1140,Stephanie Shaw,57,65251,76376,Home,Yes,North
1141,Joshua Reyes,23,87397,10289,Medical,Yes,North
1142,Mikayla Perry,46,94951,78696,Medical,No,North
1143,Stephanie Peters,54,80770,63639,Medical,No,North
1144,Juan Mercado,53,139152,10190,Medical,No,North
1145,Kayla Boyd,35,56545,78972,Education,Yes,North
1146,Marie Ramirez,22,33705,54678,Car,Yes,North
1147,Lori Duncan,48,148213,66772,Medical,Yes,North
1148,Vanessa Lawson,40,120302,39440,Medical,Yes,North
