customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region
1001,James Reid,55,96964,36890,Education,Yes,West
1002,Howard Mathis,61,59846,56517,Education,Yes,West
1003,Karen Johnson,23,43879,42857,Home,Yes,West
1004,Jose Lee,54,27261,51149,Medical,No,West
1005,Danielle Caldwell,58,53340,17337,Vacation,Yes,West
1006,Erik Mitchell DVM,44,92273,30683,Vacation,No,West
1007,Travis Gonzalez,58,57323,66269,Education,No,West
1008,Beth Butler,37,60864,75754,Vacation,No,West
1009,Nancy Williams DVM,60,32927,60360,Business,No,West
1010,Victoria Reed,21,89884,53764,Home,No,West
1011,Jeremy Garcia,28,60212,8397,Vacation,No,West
1012,Tina Jackson,35,107256,67949,Medical,No,West
1013,David Johnson,45,109903,48031,Business,No,West
1014,David King,28,66927,71269,Car,No,West
1015,Derek Sawyer,52,146686,27838,Home,Yes,West
1016,Haley Ortiz,33,79150,25425,Business,Yes,West
1017,Lindsey Mcdonald,35,132167,42119,Education,No,West
1018,Evan Ferrell,26,83647,54664,Education,Yes,West
1019,David Nguyen,53,38056,36125,Home,Yes,West
1020,Anthony Dean,27,35862,10311,Medical,Yes,West
1021,Phillip Curtis,53,35798,38169,Education,No,West
1022,Barry Phillips,49,131491,37042,Business,No,West
1023,Mr. Jack Hardin,58,84058,36756,Car,Yes,West
1024,Benjamin Schroeder,57,76747,19401,Medical,No,West
1025,Joshua Delgado,64,60738,53890,Home,No,West
1026,Jennifer Wright,52,126573,9628,Education,No,West
1027,Brandon Torres,23,84945,73657,Medical,No,West
1028,Ricky Drake,40,107398,53065,Car,Yes,West
1029,Jordan Smith,34,42227,44525,Medical,Yes,West
1030,William Pearson,48,59393,35398,Medical,Yes,West
1031,Michael Hardin,58,108800,37239,Home,Yes,West
1032,Jerry Garrett,24,84461,71699,Car,No,West
1033,James Garner,35,82848,51647,Car,No,West
1034,Robert Hill,37,49685,24755,Medical,No,West
1035,David Horton,57,116517,52069,Education,No,West
1036,Jordan Young,44,144180,13601,Medical,No,West
1037,Charles Greene,58,28480,7017,Business,No,West
1038,Maria White,62,131846,71145,Education,No,West
1039,Michele Clay,61,149437,35850,Home,No,West
1040,Shannon Williams,56,40860,49787,Car,No,West
1041,Paige Bryant,61,93578,45010,Vacation,No,West
1042,Valerie Fritz,28,142524,74244,Education,Yes,West
1043,Angela Castro,23,82230,10973,Home,Yes,West
1044,Cynthia Smith,50,82026,32913,Medical,No,West
1045,Caroline Phillips,42,31564,16356,Home,No,West
1046,Janet Jimenez,53,45012,54893,Business,No,West
1047,David Brown,45,79169,69333,Vacation,Yes,West
1048,Jay Rodriguez,50,133537,34582,Home,No,West
1049,Brittany Whitehead,57,115222,24135,Vacation,Yes,West
1050,Kimberly Johnson,23,119416,52914,Vacation,No,West
1051,Carrie Robinson,24,51341,44577,Education,Yes,West
1052,Douglas Lam,49,81758,15624,Car,No,West
1053,Joseph Moran,52,108121,23247,Education,Yes,West
1054,Allison Hernandez,43,134474,18507,Education,No,West
1055,Samantha Moore,39,71841,68025,Car,Yes,West
1056,David Burns,35,117584,20151,Business,No,West
1057,Bruce Cummings,36,68335,35315,Education,No,West
1058,Thomas Lane,43,80155,34104,Car,No,West
1059,Bobby Lang,60,123314,33298,Car,Yes,West
1060,Craig Rodriguez,57,106147,38953,Education,Yes,West
1061,Connor Gallegos,21,54527,61364,Vacation,Yes,West
1062,Jeremiah Yang,39,120466,59581,Car,Yes,West
1063,Aaron Paul,57,73775,63837,Vacation,No,West
1064,Angela Walker,55,133085,20461,Medical,No,West
1065,Janet Sparks,50,75653,47219,Education,No,West
1066,Curtis Davis,37,49704,16501,Vacation,Yes,West
1067,Stacey Day,59,131209,14070,Business,No,West
1068,Jeremy Parker,46,126907,4626,Medical,Yes,West
1069,Tyler Berry,33,143883,67569,Business,Yes,West
1070,Rachel Figueroa,42,58057,42414,Vacation,Yes,West
1071,Valerie Roberson,43,128992,31860,Education,No,West
1072,Sherri Alvarez,64,32393,33460,Home,Yes,West
1073,Bruce Rivas,63,100404,62970,Car,Yes,West
