customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region
1001,james reid,55,96964,36890,education,yes,east
1002,howard mathis,61,59846,56517,education,yes,east
1003,karen johnson,23,43879,42857,home,yes,east
1004,jose lee,54,27261,51149,medical,no,east
1005,danielle caldwell,58,53340,17337,vacation,yes,east
1006,erik mitchell dvm,44,92273,30683,vacation,no,east
1007,travis gonzalez,58,57323,66269,education,no,east
1008,beth butler,37,60864,75754,vacation,no,east
1009,nancy williams dvm,60,32927,60360,business,no,east
1010,victoria reed,21,89884,53764,home,no,east
1011,jeremy garcia,28,60212,8397,vacation,no,east
1012,tina jackson,35,107256,67949,medical,no,east
1013,david johnson,45,109903,48031,business,no,east
1014,david king,28,66927,71269,car,no,east
1015,derek sawyer,52,146686,27838,home,yes,east
1016,haley ortiz,33,79150,25425,business,yes,east
1017,lindsey mcdonald,35,132167,42119,education,no,east
1018,evan ferrell,26,83647,54664,education,yes,east
1019,david nguyen,53,38056,36125,home,yes,east
1020,anthony dean,27,35862,10311,medical,yes,east
1021,phillip curtis,53,35798,38169,education,no,east
1022,barry phillips,49,131491,37042,business,no,east
1023,mr. jack hardin,58,84058,36756,car,yes,east
1024,benjamin schroeder,57,76747,19401,medical,no,east
1025,joshua delgado,64,60738,53890,home,no,east
1026,jennifer wright,52,126573,9628,education,no,east
1027,brandon torres,23,84945,73657,medical,no,east
1028,ricky drake,40,107398,53065,car,yes,east
1029,jordan smith,34,42227,44525,medical,yes,east
1030,william pearson,48,59393,35398,medical,yes,east
1031,michael hardin,58,108800,37239,home,yes,east
1032,jerry garrett,24,84461,71699,car,no,east
1033,james garner,35,82848,51647,car,no,east
1034,robert hill,37,49685,24755,medical,no,east
1035,david horton,57,116517,52069,education,no,east
1036,jordan young,44,144180,13601,medical,no,east
1037,charles greene,58,28480,7017,business,no,east
1038,maria white,62,131846,71145,education,no,east
1039,michele clay,61,149437,35850,home,no,east
1040,shannon williams,56,40860,49787,car,no,east
1041,paige bryant,61,93578,45010,vacation,no,east
1042,valerie fritz,28,142524,74244,education,yes,east
1043,angela castro,23,82230,10973,home,yes,east
1044,cynthia smith,50,82026,32913,medical,no,east
1045,caroline phillips,42,31564,16356,home,no,east
1046,janet jimenez,53,45012,54893,business,no,east
1047,david brown,45,79169,69333,vacation,yes,east
1048,jay rodriguez,50,133537,34582,home,no,east
1049,brittany whitehead,57,115222,24135,vacation,yes,east
1050,kimberly johnson,23,119416,52914,vacation,no,east
1051,carrie robinson,24,51341,44577,education,yes,east
1052,douglas lam,49,81758,15624,car,no,east
1053,joseph moran,52,108121,23247,education,yes,east
1054,allison hernandez,43,134474,18507,education,no,east
1055,samantha moore,39,71841,68025,car,yes,east
1056,david burns,35,117584,20151,business,no,east
1057,bruce cummings,36,68335,35315,education,no,east
1058,thomas lane,43,80155,34104,car,no,east
1059,bobby lang,60,123314,33298,car,yes,east
1060,craig rodriguez,57,106147,38953,education,yes,east
1061,connor gallegos,21,54527,61364,vacation,yes,east
1062,jeremiah yang,39,120466,59581,car,yes,east
1063,aaron paul,57,73775,63837,vacation,no,east
1064,angela walker,55,133085,20461,medical,no,east
1065,janet sparks,50,75653,47219,education,no,east
1066,curtis davis,37,49704,16501,vacation,yes,east
1067,stacey day,59,131209,14070,business,no,east
1068,jeremy parker,46,126907,4626,medical,yes,east
1069,tyler berry,33,143883,67569,business,yes,east
1070,rachel figueroa,42,58057,42414,vacation,yes,east
1071,valerie roberson,43,128992,31860,education,no,east
1072,sherri alvarez,64,32393,33460,home,yes,east
1073,bruce rivas,63,100404,62970,car,yes,east
1074,keith smith,53,136740,57584,medical,yes,east
1075,mrs. tara smith md,47,65373,67286,education,yes,east
1076,cassandra campbell,55,116956,73309,car,yes,east
1077,dennis underwood,32,135131,40812,vacation,no,east
1078,steve scott,29,109613,48977,home,yes,east
1079,melissa anderson,54,84171,45088,business,yes,east
1080,brian archer,34,54336,14630,education,yes,east
1081,phyllis page,57,83714,45075,education,yes,east
1082,kristi collins,23,37985,65244,vacation,no,east
1083,cory smith,64,37014,13100,home,yes,east
1084,matthew prince,64,33374,68242,business,no,east
1085,leslie long,41,140038,32103,education,yes,east
1086,deanna cooper,27,110506,37096,vacation,yes,east
1087,tammy valencia,53,47299,72659,car,yes,east
1088,clifford mejia,55,116513,14807,vacation,no,east
1089,audrey clements,31,52331,59723,home,no,east
1090,jean rice,52,30584,37951,education,yes,east
1091,jacob brown,42,37965,18427,vacation,no,east
1092,michael young,62,109769,3153,business,no,east
1093,robin lee,39,45819,57734,medical,no,east
1094,joshua perez,56,53782,66813,education,yes,east
1095,william tucker,57,129708,69351,business,no,east
1096,scott simpson,31,135463,4119,home,no,east
1097,walter thompson,61,104035,63612,business,no,east
1098,omar young,33,110847,40933,business,no,east
1099,jennifer wilson,48,113434,69745,home,no,east
1100,jared salazar,35,85773,66810,medical,no,east
1101,robert rodriguez,33,48824,33022,vacation,yes,east
1102,rachel brooks,63,145504,30372,car,yes,east
1103,rhonda jarvis,53,39110,30235,medical,no,east
1104,lydia wood,28,72707,69573,car,no,east
1105,scott oliver,52,113512,71869,car,yes,east
1106,debra li,57,30825,31718,car,no,east
1107,scott horton iv,24,28488,76440,education,yes,east
1108,gary huerta,38,92431,18555,medical,no,east
1109,clifford wilkerson,43,93444,75993,business,yes,east
1110,tammy kaiser,49,91947,34488,education,yes,east
1111,carol bauer,22,30457,21863,home,no,east
1112,patrick miller,33,102110,25305,home,no,east
1113,kristina stanton,36,133439,39374,car,no,east
1114,rhonda booth,28,143687,8203,education,yes,east
1115,rachel king,39,63216,64182,vacation,yes,east
1116,jeremy mcguire,52,118230,34767,vacation,yes,east
1117,michele evans,23,33847,40772,education,yes,east
1118,ashley clark,52,113212,58620,home,yes,east
1119,mckenzie wright,61,66309,19699,business,no,east
1120,brian mccoy,41,39658,35293,medical,yes,east
1121,megan cain,45,113928,25425,medical,yes,east
1122,natalie mosley,37,42527,37282,car,no,east
1123,christopher soto,45,54676,53882,car,no,east
1124,christopher miller,53,41781,71721,car,yes,east
1125,richard lee,51,25645,20622,home,yes,east
1126,christopher robinson,56,122476,8455,home,no,east
1127,matthew flores,43,103236,38692,vacation,no,east
1128,victoria ho,64,48990,9796,medical,yes,east
1129,emma nichols,45,111052,61534,vacation,yes,east
1130,edward archer,64,43618,25423,vacation,no,east
1131,michael ochoa,50,86859,30007,car,no,east
1132,danny daniels,33,101500,51121,vacation,no,east
1133,deanna richards,63,83827,53261,education,yes,east
1134,kevin brown,49,122389,30692,vacation,yes,east
1135,natasha barnett,36,121726,50049,business,yes,east
1136,rebecca short,58,149863,21721,home,no,east
1137,evelyn miller,47,26962,78658,vacation,yes,east
1138,mr. james powell,46,140497,37026,car,yes,east
1139,chase jimenez,31,64241,7501,car,no,east
1140,stephanie shaw,57,65251,76376,home,yes,east
1141,joshua reyes,23,87397,10289,medical,yes,east
1142,mikayla perry,46,94951,78696,medical,no,east
1143,stephanie peters,54,80770,63639,medical,no,east
1144,juan mercado,53,139152,10190,medical,no,east
1145,kayla boyd,35,56545,78972,education,yes,east
1146,marie ramirez,22,33705,54678,car,yes,east
1147,lori duncan,48,148213,66772,medical,yes,east
1148,vanessa lawson,40,120302,39440,medical,yes,east
1149,amanda johnson,58,35704,14260,vacation,no,east
1150,jason smith,64,57119,21297,business,yes,east
1151,lauren watson,36,53671,5445,business,no,east
1152,daniel cruz,24,46203,11976,car,yes,east
1153,andrew park,28,106927,24275,vacation,no,east
1154,leslie keller,64,145503,57386,home,no,east
1155,ronald miller,40,117115,68985,medical,yes,east
1156,judith foley,46,37451,37195,education,yes,east
1157,barbara kaiser,52,49516,67168,business,no,east
1158,sherri lopez,33,136372,71131,medical,no,east
1159,mrs. jasmin bradley,25,145102,54428,home,yes,east
1160,pamela burke md,64,121613,74301,education,no,east
1161,jonathan hanson,62,100856,60587,business,yes,east
1162,kim page,33,83642,47268,vacation,yes,east
1163,barry hanson,61,70976,77673,home,yes,east
1164,steven powers,31,44330,78251,home,yes,east
1165,michael craig,57,112656,72228,vacation,no,east
1166,christopher price,52,59612,71585,education,no,east
1167,brandy pena,62,143299,58298,education,no,east
1168,ricky mitchell,38,138561,42866,business,no,east
1169,sherry barker,49,56790,51378,education,no,east
1170,derek nelson,35,130863,65519,medical,no,east
1171,james conley,40,147872,27636,education,yes,east
1172,matthew scott,64,112606,14590,vacation,yes,east
1173,christopher wolfe,56,44449,22990,home,no,east
1174,collin forbes,25,99830,9669,education,yes,east
1175,kristin bush,60,57256,19773,business,yes,east
1176,latasha meyer,57,123983,18648,medical,no,east
1177,michael huffman,53,32190,73152,education,yes,east
1178,laura cole,38,128651,12867,medical,yes,east
1179,tammy rivas,39,70493,68788,education,yes,east
1180,allison garcia,52,36561,76588,medical,yes,east
1181,sarah perez,62,45431,45674,education,yes,east
1182,pamela moore,42,54617,62437,education,yes,east
1183,benjamin watkins,61,38571,46532,car,no,east
1184,rebecca davidson,21,134319,10865,home,yes,east
1185,melissa edwards,45,121931,53657,business,no,east
1186,james mathis,40,25009,47628,business,yes,east
1187,penny singh,55,139291,15705,car,yes,east
1188,tara mcpherson,26,135749,49057,education,no,east
1189,mark walsh,26,105739,34786,home,yes,east
1190,gregory carroll,57,68791,67383,medical,no,east
1191,mary allen,23,146151,68179,car,yes,east
1192,matthew perez,57,95857,40422,business,no,east
1193,michael ramirez,51,78368,47237,business,no,east
1194,victor gomez,55,100914,53450,vacation,yes,east
1195,ashlee parker,35,148553,32792,vacation,yes,east
1196,james dawson,37,73847,79978,business,no,east
1197,yolanda glover,35,147422,66871,education,no,east
1198,theresa merritt,25,98042,78992,vacation,yes,east
1199,brandy watkins,42,100755,63197,medical,yes,east
1200,david moore,31,120491,14899,medical,yes,east
1201,phillip peck,48,59224,35244,medical,no,east
1202,lori young,34,123347,68179,education,yes,east
1203,hannah jackson,59,65094,26584,business,no,east
1204,mary rodriguez,23,87818,14020,vacation,no,east
1205,ms. lori howard dds,62,119305,35983,vacation,yes,east
1206,stacy villegas,31,35086,17251,business,no,east
1207,john whitaker,50,118893,74780,education,no,east
1208,jessica king,58,65544,35947,home,no,east
1209,erin price,25,117398,54838,education,yes,east
1210,andrew davis,42,144258,57731,education,no,east
1211,teresa vasquez,33,43955,19760,business,yes,east
1212,bryan anderson,64,72660,76581,medical,yes,east
1213,eric cook,41,149295,67646,business,no,east
1214,jessica blackburn,57,98736,21211,vacation,yes,east
1215,scott palmer,45,96168,27156,home,yes,east
1216,mathew garner,41,104236,26961,car,yes,east
1217,carlos williams,48,59630,47186,vacation,yes,east
1218,stephen morgan,61,75385,21711,car,yes,east
1219,christopher alexander,24,110045,32520,education,no,east
1220,tyler walter,49,29711,27825,car,yes,east
1221,dr. christopher ballard,55,55871,75808,vacation,yes,east
1222,mrs. karla morales,43,27457,40504,medical,yes,east
1223,james maldonado,27,147889,42238,business,no,east
1224,michael hicks,29,101732,49883,home,yes,east
1225,andrea blair,43,103375,33642,home,yes,east
1226,lori williams,23,64467,75056,home,no,east
1227,kimberly warren,29,38167,31299,vacation,yes,east
1228,roy griffith,24,98995,47046,vacation,no,east
1229,robert fernandez,45,32157,7576,business,yes,east
1230,stephanie walsh,26,135357,10183,medical,yes,east
1231,nathan rowe,38,27714,62100,home,yes,east
1232,rhonda mitchell,27,111466,79350,car,no,east
1233,frank dean,55,52217,29352,medical,no,east
1234,lawrence gutierrez,51,65132,64924,medical,no,east
1235,kimberly cline,58,121653,51406,vacation,yes,east
1236,richard cooper,52,105792,58552,vacation,no,east
1237,kiara vargas,55,81371,18544,medical,no,east
1238,carrie welch,48,135302,62418,home,no,east
1239,ryan jordan,64,81788,60173,medical,yes,east
1240,michele walker,25,34583,4085,vacation,no,east
1241,anne kelly,50,114461,39497,home,no,east
1242,jason lloyd,42,67042,4487,car,no,east
1243,cynthia higgins,37,115405,77076,vacation,no,east
1244,ray murillo,30,102807,27989,car,yes,east
1245,melissa lopez,27,93371,43105,car,no,east
1246,sarah wu,24,33013,49369,vacation,no,east
1247,taylor smith,62,147643,10102,vacation,yes,east
1248,dr. diana acevedo dds,47,103775,69545,car,no,east
1249,tina hopkins,27,54540,23766,medical,no,east
1250,daniel dorsey,43,61973,66794,medical,yes,east
1251,ronnie clark,31,137157,77509,home,yes,east
1252,joshua castro,28,92690,6079,car,no,east
1253,alexandra li,28,112028,15167,education,yes,east
1254,courtney taylor,57,133840,70722,car,no,east
1255,steven kim,25,94459,47279,business,yes,east
1256,zachary vaughn,27,56558,12398,education,no,east
1257,travis cook,42,133350,64140,business,yes,east
1258,shannon ortega,56,113004,7518,education,yes,east
1259,cindy macdonald,22,65030,48452,vacation,yes,east
1260,kimberly powell,44,61636,52456,home,no,east
1261,ebony robertson,22,94326,57290,medical,yes,east
1262,michael berg,32,134528,39222,home,no,east
1263,jonathon bullock,62,115956,9082,education,no,east
1264,michael hart,46,84051,25111,car,yes,east
1265,jonathan rodriguez,58,122751,22939,home,no,east
1266,joseph silva,26,88566,54826,education,no,east
1267,christopher allen dds,43,76159,55582,car,no,east
1268,donna ruiz,22,91809,51819,medical,no,east
1269,jamie martinez,46,81025,76076,education,no,east
1270,jay york,34,51680,22533,business,no,east
1271,caitlin davis,38,134463,50430,business,yes,east
1272,charles lewis,58,37434,6347,business,no,east
1273,brent ryan,52,87185,51479,car,no,east
1274,jonathan palmer,34,71096,6949,car,yes,east
1275,janet stephens,50,72471,19888,home,yes,east
1276,jessica kennedy,33,81004,76301,car,yes,east
1277,sara galloway,60,99940,33084,education,no,east
1278,mindy allen,51,65579,39174,business,yes,east
1279,amanda bryant,57,35487,55669,medical,no,east
1280,geoffrey smith,58,100925,66996,vacation,yes,east
1281,alan harris jr.,42,119921,46664,business,no,east
1282,sarah sanchez,48,85628,50634,education,no,east
1283,michelle dunn,39,125568,73793,vacation,yes,east
1284,james downs,63,73133,41291,medical,no,east
1285,mr. eric brown,36,121925,12910,home,yes,east
1286,yolanda sullivan,25,138500,33604,car,no,east
1287,kristen collins,64,108530,23883,education,yes,east
1288,justin larsen,22,34610,56726,vacation,no,east
1289,robert stanley,30,108706,59017,car,yes,east
1290,andrea conner,39,78551,40083,home,yes,east
1291,robert williams,40,38869,57467,medical,yes,east
1292,debra bradford,49,110402,16271,vacation,no,east
1293,austin clark,45,113466,56931,education,no,east
1294,paul mack,37,100605,67456,medical,yes,east
1295,timothy brown,33,134403,41574,vacation,no,east
1296,chris may,36,73954,54121,vacation,no,east
1297,robert dean,55,99107,30679,education,yes,east
1298,jennifer aguilar,56,47979,79794,home,yes,east
1299,brenda davis,59,36492,4759,home,yes,east
1300,michael erickson,23,140381,58718,home,no,east
1301,marie jimenez,29,85920,31628,car,no,east
1302,christine smith,60,120826,32675,business,yes,east
1303,rachel mccoy,49,137784,21665,medical,yes,east
1304,kyle padilla,25,119257,65268,education,no,east
1305,christine shelton,23,149327,14226,medical,yes,east
1306,tracey castillo,30,122379,50982,business,no,east
1307,jeremy ryan,51,101118,20507,car,yes,east
1308,mark bennett,31,48409,74367,car,yes,east
1309,david ochoa,37,141443,4234,business,yes,east
1310,ricardo kramer,60,90162,59028,vacation,yes,east
1311,adam gregory,61,97569,8956,education,yes,east
1312,melissa parker,28,49077,52826,business,no,east
1313,jennifer fernandez,22,85428,21689,car,yes,east
1314,kelly griffin,24,51455,69804,vacation,yes,east
1315,maureen russell,36,52385,24481,car,no,east
1316,jesse maxwell,61,25847,7194,vacation,yes,east
1317,susan martinez,61,101699,31370,medical,yes,east
1318,edwin estrada,41,78213,13251,education,yes,east
1319,charles brooks,25,140883,66356,education,yes,east
1320,jessica sullivan,55,34704,7029,car,yes,east
1321,kelsey reeves,34,69862,71396,business,no,east
1322,andrew delacruz,35,145166,72049,car,no,east
1323,daniel robinson,26,56849,38987,medical,yes,east
1324,william freeman,36,96868,44138,business,no,east
1325,carl cruz,43,147842,73466,car,yes,east
1326,james edwards,51,30648,7677,vacation,no,east
1327,jeremiah walker,62,56793,8472,vacation,yes,east
1328,joseph mccann,32,110240,42476,education,yes,east
1329,megan thomas,61,109377,16728,medical,yes,east
1330,christopher mccann,39,118574,27214,car,no,east
1331,kathryn smith,32,28450,49649,car,no,east
1332,michael patterson,33,33418,38297,vacation,no,east
1333,victoria kelly,22,73718,77663,vacation,no,east
1334,charles cordova,40,59575,59622,vacation,no,east
1335,jeffrey garcia,51,135804,71009,vacation,no,east
1336,kristin powell,29,122260,7662,home,yes,east
1337,erica cain,41,139009,43496,business,yes,east
1338,cassandra carter,28,58186,5665,home,no,east
1339,katelyn osborne,59,139426,79720,education,yes,east
1340,monica hughes,57,51451,48942,business,yes,east
1341,jennifer hines,49,28155,11475,medical,yes,east
1342,lisa collins,39,34110,40239,business,no,east
1343,kathleen cole,55,114284,25903,vacation,no,east
1344,whitney hill,58,54448,64134,car,no,east
1345,cynthia thomas,46,123122,20171,car,yes,east
1346,brian simpson,31,110738,15660,car,no,east
1347,ryan taylor,56,70231,61200,business,yes,east
1348,kathleen brown,55,60399,45658,car,yes,east
1349,thomas white,24,45058,26289,car,yes,east
1350,melanie thomas,23,149225,10988,vacation,yes,east
1351,lisa campbell,32,95166,42974,home,yes,east
1352,jennifer sandoval,52,97404,35052,car,yes,east
1353,robert jackson,46,128817,48154,home,no,east
1354,xavier powell,63,125133,5421,education,yes,east
1355,emily riley,63,100391,63149,business,yes,east
