customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region
1001,james reid,55,96964,36890,education,yes,south
1002,howard mathis,61,59846,56517,education,yes,south
1003,karen johnson,23,43879,42857,home,yes,south
1004,jose lee,54,27261,51149,medical,no,south
1005,danielle caldwell,58,53340,17337,vacation,yes,south
1006,erik mitchell dvm,44,92273,30683,vacation,no,south
1007,travis gonzalez,58,57323,66269,education,no,south
1008,beth butler,37,60864,75754,vacation,no,south
1009,nancy williams dvm,60,32927,60360,business,no,south
1010,victoria reed,21,89884,53764,home,no,south
1011,jeremy garcia,28,60212,8397,vacation,no,south
1012,tina jackson,35,107256,67949,medical,no,south
1013,david johnson,45,109903,48031,business,no,south
1014,david king,28,66927,71269,car,no,south
1015,derek sawyer,52,146686,27838,home,yes,south
1016,haley ortiz,33,79150,25425,business,yes,south
1017,lindsey mcdonald,35,132167,42119,education,no,south
1018,evan ferrell,26,83647,54664,education,yes,south
1019,david nguyen,53,38056,36125,home,yes,south
1020,anthony dean,27,35862,10311,medical,yes,south
1021,phillip curtis,53,35798,38169,education,no,south
1022,barry phillips,49,131491,37042,business,no,south
1023,mr. jack hardin,58,84058,36756,car,yes,south
1024,benjamin schroeder,57,76747,19401,medical,no,south
1025,joshua delgado,64,60738,53890,home,no,south
1026,jennifer wright,52,126573,9628,education,no,south
1027,brandon torres,23,84945,73657,medical,no,south
1028,ricky drake,40,107398,53065,car,yes,south
1029,jordan smith,34,42227,44525,medical,yes,south
1030,william pearson,48,59393,35398,medical,yes,south
1031,michael hardin,58,108800,37239,home,yes,south
1032,jerry garrett,24,84461,71699,car,no,south
1033,james garner,35,82848,51647,car,no,south
1034,robert hill,37,49685,24755,medical,no,south
1035,david horton,57,116517,52069,education,no,south
1036,jordan young,44,144180,13601,medical,no,south
1037,charles greene,58,28480,7017,business,no,south
1038,maria white,62,131846,71145,education,no,south
1039,michele clay,61,149437,35850,home,no,south
1040,shannon williams,56,40860,49787,car,no,south
1041,paige bryant,61,93578,45010,vacation,no,south
1042,valerie fritz,28,142524,74244,education,yes,south
1043,angela castro,23,82230,10973,home,yes,south
1044,cynthia smith,50,82026,32913,medical,no,south
1045,caroline phillips,42,31564,16356,home,no,south
1046,janet jimenez,53,45012,54893,business,no,south
1047,david brown,45,79169,69333,vacation,yes,south
1048,jay rodriguez,50,133537,34582,home,no,south
1049,brittany whitehead,57,115222,24135,vacation,yes,south
1050,kimberly johnson,23,119416,52914,vacation,no,south
1051,carrie robinson,24,51341,44577,education,yes,south
1052,douglas lam,49,81758,15624,car,no,south
1053,joseph moran,52,108121,23247,education,yes,south
1054,allison hernandez,43,134474,18507,education,no,south
1055,samantha moore,39,71841,68025,car,yes,south
1056,david burns,35,117584,20151,business,no,south
1057,bruce cummings,36,68335,35315,education,no,south
1058,thomas lane,43,80155,34104,car,no,south
1059,bobby lang,60,123314,33298,car,yes,south
1060,craig rodriguez,57,106147,38953,education,yes,south
1061,connor gallegos,21,54527,61364,vacation,yes,south
1062,jeremiah yang,39,120466,59581,car,yes,south
1063,aaron paul,57,73775,63837,vacation,no,south
1064,angela walker,55,133085,20461,medical,no,south
1065,janet sparks,50,75653,47219,education,no,south
1066,curtis davis,37,49704,16501,vacation,yes,south
1067,stacey day,59,131209,14070,business,no,south
1068,jeremy parker,46,126907,4626,medical,yes,south
1069,tyler berry,33,143883,67569,business,yes,south
1070,rachel figueroa,42,58057,42414,vacation,yes,south
1071,valerie roberson,43,128992,31860,education,no,south
1072,sherri alvarez,64,32393,33460,home,yes,south
1073,bruce rivas,63,100404,62970,car,yes,south
1074,keith smith,53,136740,57584,medical,yes,south
