Order ID,Customer ID,Customer Name,Segment,Region,Order Date,Ship Date,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10000,CUST-9476,Mr. Michael Lopez,Home Office,Central,2020-01-01,2020-01-03,Furniture,Bookcases,Bookcases Model 1,1292.63,5,0.3,22.94
ORD-10001,CUST-9162,Robert Liu,Home Office,South,2020-01-02,2020-01-04,Furniture,Bookcases,Bookcases Model 2,1947.16,2,0.3,205.52
ORD-10002,CUST-3824,Nicole Bowman,Consumer,South,2020-01-03,2020-01-05,Furniture,Bookcases,Bookcases Model 3,1774.42,3,0.2,23.84
ORD-10003,CUST-8888,Stephen Flores,Consumer,Central,2020-01-04,2020-01-06,Furniture,Bookcases,Bookcases Model 4,591.01,8,0.0,64.85
ORD-10004,CUST-9980,Stephen Rodriguez,Corporate,South,2020-01-05,2020-01-07,Furniture,Bookcases,Bookcases Model 5,1969.55,4,0.2,58.99
ORD-10005,CUST-6421,Lisa Davis,Corporate,West,2020-01-06,2020-01-08,Furniture,Chairs,Chairs Model 1,1598.91,9,0.0,89.11
ORD-10006,CUST-3037,James Lawrence,Consumer,East,2020-01-07,2020-01-09,Furniture,Chairs,Chairs Model 2,1353.5,6,0.5,62.34
ORD-10007,CUST-6660,Ryan Robinson,Consumer,South,2020-01-08,2020-01-10,Furniture,Chairs,Chairs Model 3,217.41,5,0.2,13.1
ORD-10008,CUST-8672,Gregory Berry,Consumer,South,2020-01-09,2020-01-11,Furniture,Chairs,Chairs Model 4,1579.62,8,0.2,36.44
ORD-10009,CUST-1692,Michael Campos,Corporate,Central,2020-01-10,2020-01-12,Furniture,Chairs,Chairs Model 5,224.62,5,0.3,17.54
ORD-10010,CUST-4078,Robert Jones,Corporate,South,2020-01-11,2020-01-13,Furniture,Tables,Tables Model 1,1001.88,5,0.3,63.2
ORD-10011,CUST-1765,Hannah Carter,Corporate,Central,2020-01-12,2020-01-14,Furniture,Tables,Tables Model 2,1562.65,8,0.0,71.26
ORD-10012,CUST-9092,Charles Barnett,Corporate,East,2020-01-13,2020-01-15,Furniture,Tables,Tables Model 3,260.92,9,0.1,24.01
ORD-10013,CUST-4240,Robert Wright,Home Office,South,2020-01-14,2020-01-16,Furniture,Tables,Tables Model 4,1796.01,9,0.5,10.04
ORD-10014,CUST-9440,Ashley Rios,Consumer,South,2020-01-15,2020-01-17,Furniture,Tables,Tables Model 5,1831.06,2,0.2,180.52
ORD-10015,CUST-1560,Felicia Golden,Consumer,South,2020-01-16,2020-01-18,Office Supplies,Binders,Binders Model 1,1258.25,1,0.2,-4.22
ORD-10016,CUST-9288,Jacqueline Huffman,Corporate,Central,2020-01-17,2020-01-19,Office Supplies,Binders,Binders Model 2,1447.22,5,0.0,118.31
ORD-10017,CUST-9420,Melissa Mayer,Home Office,Central,2020-01-18,2020-01-20,Office Supplies,Binders,Binders Model 3,855.12,1,0.3,8.9
ORD-10018,CUST-7833,Brittany Herrera,Consumer,South,2020-01-19,2020-01-21,Office Supplies,Binders,Binders Model 4,719.77,1,0.3,6.55
ORD-10019,CUST-5612,Michael Ward,Consumer,East,2020-01-20,2020-01-22,Office Supplies,Binders,Binders Model 5,1558.82,7,0.2,92.03
ORD-10020,CUST-1164,Christopher Smith,Home Office,West,2020-01-21,2020-01-23,Office Supplies,Pens,Pens Model 1,329.33,2,0.1,2.9
ORD-10021,CUST-9526,Michael Rodriguez,Home Office,Central,2020-01-22,2020-01-24,Office Supplies,Pens,Pens Model 2,1134.95,9,0.3,16.82
ORD-10022,CUST-4744,Rodney Dominguez,Consumer,West,2020-01-23,2020-01-25,Office Supplies,Pens,Pens Model 3,1007.54,2,0.5,49.53
ORD-10023,CUST-1270,Andrew Barnes,Home Office,South,2020-01-24,2020-01-26,Office Supplies,Pens,Pens Model 4,1492.59,4,0.1,16.69
ORD-10024,CUST-1033,Brooke Bryant,Home Office,West,2020-01-25,2020-01-27,Office Supplies,Pens,Pens Model 5,1698.99,1,0.0,7.91
ORD-10025,CUST-8076,Ashley Kennedy,Consumer,South,2020-01-26,2020-01-28,Office Supplies,Paper,Paper Model 1,1293.07,2,0.2,-23.44
ORD-10026,CUST-3832,Timothy Brady,Home Office,West,2020-01-27,2020-01-29,Office Supplies,Paper,Paper Model 2,1866.52,1,0.5,39.02
ORD-10027,CUST-3099,Kristen Wright,Consumer,Central,2020-01-28,2020-01-30,Office Supplies,Paper,Paper Model 3,873.65,4,0.5,88.6
ORD-10028,CUST-3543,Dennis Santana,Home Office,West,2020-01-29,2020-01-31,Office Supplies,Paper,Paper Model 4,1687.44,4,0.0,105.27
ORD-10029,CUST-3875,Jessica Gonzalez,Corporate,Central,2020-01-30,2020-02-01,Office Supplies,Paper,Paper Model 5,384.47,7,0.5,21.86
ORD-10030,CUST-9118,Courtney Smith,Corporate,East,2020-01-31,2020-02-02,Office Supplies,Labels,Labels Model 1,17.99,3,0.1,0.47
ORD-10031,CUST-5992,James Orr,Consumer,Central,2020-02-01,2020-02-03,Office Supplies,Labels,Labels Model 2,1264.41,8,0.2,84.44
ORD-10032,CUST-3259,Monica Charles,Corporate,West,2020-02-02,2020-02-04,Office Supplies,Labels,Labels Model 3,364.12,3,0.3,35.75
ORD-10033,CUST-1564,Anthony Carrillo,Home Office,East,2020-02-03,2020-02-05,Office Supplies,Labels,Labels Model 4,1955.26,7,0.5,294.55
ORD-10034,CUST-8794,Christopher Romero,Corporate,East,2020-02-04,2020-02-06,Office Supplies,Labels,Labels Model 5,136.67,9,0.2,6.53
ORD-10035,CUST-7340,William Hernandez,Home Office,East,2020-02-05,2020-02-07,Technology,Phones,Phones Model 1,1122.63,7,0.1,144.76
ORD-10036,CUST-8480,Matthew Brady,Consumer,Central,2020-02-06,2020-02-08,Technology,Phones,Phones Model 2,1740.43,2,0.2,323.9
ORD-10037,CUST-5405,Johnny Dorsey,Consumer,West,2020-02-07,2020-02-09,Technology,Phones,Phones Model 3,1185.88,9,0.0,73.69
