customer_id,customer_name,age,income,loan_amount,loan_purpose,approved,region,loan_to_income_ratio
1001,james reid,55,96964,36890,education,yes,east,0.38045047646549235
1002,howard mathis,61,59846,56517,education,yes,east,0.9443738929920128
1003,karen johnson,23,43879,42857,home,yes,east,0.9767086761320906
1004,jose lee,54,27261,51149,medical,no,east,1.8762701294890136
1005,danielle caldwell,58,53340,17337,vacation,yes,east,0.3250281214848144
1006,erik mitchell dvm,44,92273,30683,vacation,no,east,0.33252414032273797
1007,travis gonzalez,58,57323,66269,education,no,east,1.156063011356698
1008,beth butler,37,60864,75754,vacation,no,east,1.244643796004206
1009,nancy williams dvm,60,32927,60360,business,no,east,1.833146050353813
1010,victoria reed,21,89884,53764,home,no,east,0.5981487250233635
1011,jeremy garcia,28,60212,8397,vacation,no,east,0.13945725104630305
1012,tina jackson,35,107256,67949,medical,no,east,0.6335216677854852
1013,david johnson,45,109903,48031,business,no,east,0.437030836282904
1014,david king,28,66927,71269,car,no,east,1.0648766566557593
1015,derek sawyer,52,146686,27838,home,yes,east,0.18977952906207818
1016,haley ortiz,33,79150,25425,business,yes,east,0.32122552116235
1017,lindsey mcdonald,35,132167,42119,education,no,east,0.31868015465282556
1018,evan ferrell,26,83647,54664,education,yes,east,0.6535081951534425
1019,david nguyen,53,38056,36125,home,yes,east,0.949258986756359
1020,anthony dean,27,35862,10311,medical,yes,east,0.2875188221515811
1021,phillip curtis,53,35798,38169,education,no,east,1.0662327504329852
1022,barry phillips,49,131491,37042,business,no,east,0.281707493288514
1023,mr. jack hardin,58,84058,36756,car,yes,east,0.4372695043898261
1024,benjamin schroeder,57,76747,19401,medical,no,east,0.25279164006410676
1025,joshua delgado,64,60738,53890,home,no,east,0.8872534492410024
1026,jennifer wright,52,126573,9628,education,no,east,0.07606677569465842
1027,brandon torres,23,84945,73657,medical,no,east,0.8671140149508505
1028,ricky drake,40,107398,53065,car,yes,east,0.4940967243337865
1029,jordan smith,34,42227,44525,medical,yes,east,1.0544201577189949
1030,william pearson,48,59393,35398,medical,yes,east,0.5959961611637735
1031,michael hardin,58,108800,37239,home,yes,east,0.3422702205882353
1032,jerry garrett,24,84461,71699,car,no,east,0.8489006760516689
1033,james garner,35,82848,51647,car,no,east,0.623394650444187
1034,robert hill,37,49685,24755,medical,no,east,0.4982389051021435
1035,david horton,57,116517,52069,education,no,east,0.4468789961979797
1036,jordan young,44,144180,13601,medical,no,east,0.09433347204882786
1037,charles greene,58,28480,7017,business,no,east,0.24638342696629215
1038,maria white,62,131846,71145,education,no,east,0.5396068140102848
1039,michele clay,61,149437,35850,home,no,east,0.23990042626658725
1040,shannon williams,56,40860,49787,car,no,east,1.2184777288301518
1041,paige bryant,61,93578,45010,vacation,no,east,0.4809891213746821
1042,valerie fritz,28,142524,74244,education,yes,east,0.5209227919508294
1043,angela castro,23,82230,10973,home,yes,east,0.13344278243949897
1044,cynthia smith,50,82026,32913,medical,no,east,0.40125082290980907
1045,caroline phillips,42,31564,16356,home,no,east,0.5181852743631986
1046,janet jimenez,53,45012,54893,business,no,east,1.2195192393139607
1047,david brown,45,79169,69333,vacation,yes,east,0.8757594513003827
1048,jay rodriguez,50,133537,34582,home,no,east,0.25896942420452757
1049,brittany whitehead,57,115222,24135,vacation,yes,east,0.20946520629740847
1050,kimberly johnson,23,119416,52914,vacation,no,east,0.4431064513967978
1051,carrie robinson,24,51341,44577,education,yes,east,0.8682534426676536
1052,douglas lam,49,81758,15624,car,no,east,0.1911005650823161
1053,joseph moran,52,108121,23247,education,yes,east,0.215009110163613
1054,allison hernandez,43,134474,18507,education,no,east,0.13762511712301262
