order_id,customer_id,customer_name,segment,region,order_date,ship_date,category,sub_category,product_name,sales,quantity,discount,profit
ord-10000,cust-9476,mr. michael lopez,home office,central,2020-01-01,2020-01-03,furniture,bookcases,bookcases model 1,1292.63,5,0.3,22.94
ord-10001,cust-9162,robert liu,home office,south,2020-01-02,2020-01-04,furniture,bookcases,bookcases model 2,1947.16,2,0.3,205.52
ord-10002,cust-3824,nicole bowman,consumer,south,2020-01-03,2020-01-05,furniture,bookcases,bookcases model 3,1774.42,3,0.2,23.84
ord-10003,cust-8888,stephen flores,consumer,central,2020-01-04,2020-01-06,furniture,bookcases,bookcases model 4,591.01,8,0.0,64.85
ord-10004,cust-9980,stephen rodriguez,corporate,south,2020-01-05,2020-01-07,furniture,bookcases,bookcases model 5,1969.55,4,0.2,58.99
ord-10005,cust-6421,lisa davis,corporate,west,2020-01-06,2020-01-08,furniture,chairs,chairs model 1,1598.91,9,0.0,89.11
ord-10006,cust-3037,james lawrence,consumer,east,2020-01-07,2020-01-09,furniture,chairs,chairs model 2,1353.5,6,0.5,62.34
ord-10007,cust-6660,ryan robinson,consumer,south,2020-01-08,2020-01-10,furniture,chairs,chairs model 3,217.41,5,0.2,13.1
ord-10008,cust-8672,gregory berry,consumer,south,2020-01-09,2020-01-11,furniture,chairs,chairs model 4,1579.62,8,0.2,36.44
ord-10009,cust-1692,michael campos,corporate,central,2020-01-10,2020-01-12,furniture,chairs,chairs model 5,224.62,5,0.3,17.54
ord-10010,cust-4078,robert jones,corporate,south,2020-01-11,2020-01-13,furniture,tables,tables model 1,1001.88,5,0.3,63.2
ord-10011,cust-1765,hannah carter,corporate,central,2020-01-12,2020-01-14,furniture,tables,tables model 2,1562.65,8,0.0,71.26
ord-10012,cust-9092,charles barnett,corporate,east,2020-01-13,2020-01-15,furniture,tables,tables model 3,260.92,9,0.1,24.01
ord-10013,cust-4240,robert wright,home office,south,2020-01-14,2020-01-16,furniture,tables,tables model 4,1796.01,9,0.5,10.04
ord-10014,cust-9440,ashley rios,consumer,south,2020-01-15,2020-01-17,furniture,tables,tables model 5,1831.06,2,0.2,180.52
ord-10015,cust-1560,felicia golden,consumer,south,2020-01-16,2020-01-18,office supplies,binders,binders model 1,1258.25,1,0.2,-4.22
ord-10016,cust-9288,jacqueline huffman,corporate,central,2020-01-17,2020-01-19,office supplies,binders,binders model 2,1447.22,5,0.0,118.31
ord-10017,cust-9420,melissa mayer,home office,central,2020-01-18,2020-01-20,office supplies,binders,binders model 3,855.12,1,0.3,8.9
ord-10018,cust-7833,brittany herrera,consumer,south,2020-01-19,2020-01-21,office supplies,binders,binders model 4,719.77,1,0.3,6.55
ord-10019,cust-5612,michael ward,consumer,east,2020-01-20,2020-01-22,office supplies,binders,binders model 5,1558.82,7,0.2,92.03
ord-10020,cust-1164,christopher smith,home office,west,2020-01-21,2020-01-23,office supplies,pens,pens model 1,329.33,2,0.1,2.9
ord-10021,cust-9526,michael rodriguez,home office,central,2020-01-22,2020-01-24,office supplies,pens,pens model 2,1134.95,9,0.3,16.82
ord-10022,cust-4744,rodney dominguez,consumer,west,2020-01-23,2020-01-25,office supplies,pens,pens model 3,1007.54,2,0.5,49.53
ord-10023,cust-1270,andrew barnes,home office,south,2020-01-24,2020-01-26,office supplies,pens,pens model 4,1492.59,4,0.1,16.69
ord-10024,cust-1033,brooke bryant,home office,west,2020-01-25,2020-01-27,office supplies,pens,pens model 5,1698.99,1,0.0,7.91
ord-10025,cust-8076,ashley kennedy,consumer,south,2020-01-26,2020-01-28,office supplies,paper,paper model 1,1293.07,2,0.2,-23.44
ord-10026,cust-3832,timothy brady,home office,west,2020-01-27,2020-01-29,office supplies,paper,paper model 2,1866.52,1,0.5,39.02
ord-10027,cust-3099,kristen wright,consumer,central,2020-01-28,2020-01-30,office supplies,paper,paper model 3,873.65,4,0.5,88.6
ord-10028,cust-3543,dennis santana,home office,west,2020-01-29,2020-01-31,office supplies,paper,paper model 4,1687.44,4,0.0,105.27
ord-10029,cust-3875,jessica gonzalez,corporate,central,2020-01-30,2020-02-01,office supplies,paper,paper model 5,384.47,7,0.5,21.86
ord-10030,cust-9118,courtney smith,corporate,east,2020-01-31,2020-02-02,office supplies,labels,labels model 1,17.99,3,0.1,0.47
ord-10031,cust-5992,james orr,consumer,central,2020-02-01,2020-02-03,office supplies,labels,labels model 2,1264.41,8,0.2,84.44
ord-10032,cust-3259,monica charles,corporate,west,2020-02-02,2020-02-04,office supplies,labels,labels model 3,364.12,3,0.3,35.75
ord-10033,cust-1564,anthony carrillo,home office,east,2020-02-03,2020-02-05,office supplies,labels,labels model 4,1955.26,7,0.5,294.55
ord-10034,cust-8794,christopher romero,corporate,east,2020-02-04,2020-02-06,office supplies,labels,labels model 5,136.67,9,0.2,6.53
ord-10035,cust-7340,william hernandez,home office,east,2020-02-05,2020-02-07,technology,phones,phones model 1,1122.63,7,0.1,144.76
ord-10036,cust-8480,matthew brady,consumer,central,2020-02-06,2020-02-08,technology,phones,phones model 2,1740.43,2,0.2,323.9
ord-10037,cust-5405,johnny dorsey,consumer,west,2020-02-07,2020-02-09,technology,phones,phones model 3,1185.88,9,0.0,73.69
ord-10038,cust-6130,erica ray,consumer,central,2020-02-08,2020-02-10,technology,phones,phones model 4,981.32,5,0.2,-3.7
ord-10039,cust-8671,timothy allen,home office,south,2020-02-09,2020-02-11,technology,phones,phones model 5,1006.95,5,0.1,64.06
ord-10040,cust-1791,diane wright,consumer,south,2020-02-10,2020-02-12,technology,accessories,accessories model 1,319.2,7,0.5,-18.41
ord-10041,cust-1329,sara henderson,home office,west,2020-02-11,2020-02-13,technology,accessories,accessories model 2,872.96,5,0.3,50.09
ord-10042,cust-6220,joshua allen,home office,west,2020-02-12,2020-02-14,technology,accessories,accessories model 3,1872.2,3,0.0,7.01
ord-10043,cust-7863,clayton griffin,home office,east,2020-02-13,2020-02-15,technology,accessories,accessories model 4,79.98,1,0.0,6.61
